transaction_id,user_query,item,amount,prior_fraud_flag
T0489,Need a refund urgently,Bluetooth Speaker,27.8,No
T0490,I want a refund for last week’s order,Wireless Earbuds,216.86,Yes
T0491,"No delivery, please refund",Laptop Stand,92.99,Yes
T0492,I want a refund for last week’s order,Noise Cancelling Headphones,71.92,No
T0493,Need a refund urgently,Webcam,41.07,Yes
T0494,I didn’t receive my order,Portable SSD,185.61,No
T0495,"No delivery, please refund",USB-C Charger,293.79,Yes
T0496,Package lost in transit,USB-C Charger,79.35,No
T0497,Item is damaged,Smartwatch Strap,255.68,No
T0498,"No delivery, please refund",Noise Cancelling Headphones,180.15,Yes
T0499,Delivered but empty box,Laptop Stand,63.57,Yes
T0500,Delivered but empty box,Portable SSD,88.66,No
T0501,Wrong product received,Noise Cancelling Headphones,26.97,No
T0502,Package lost in transit,Laptop Stand,26.17,Yes
T0503,Never got tracking update,Noise Cancelling Headphones,272.06,Yes
T0504,"No delivery, please refund",Bluetooth Speaker,264.16,Yes
T0505,"No delivery, please refund",Noise Cancelling Headphones,124.27,Yes
T0506,I want a refund for last week’s order,Gaming Mouse,127.37,No
T0507,Delivered but empty box,Wireless Earbuds,60.52,No
T0508,Need a refund urgently,Smartphone Cover,250.77,Yes
T0509,Package lost in transit,Noise Cancelling Headphones,20.5,No
T0510,Delivered but empty box,Smartphone Cover,142.25,Yes
T0511,"No delivery, please refund",Bluetooth Speaker,282.94,Yes
T0512,Delivered but empty box,USB-C Charger,33.07,No
T0513,Package lost in transit,Wireless Earbuds,90.61,No
T0514,Wrong product received,Bluetooth Speaker,201.1,Yes
T0515,Need a refund urgently,Gaming Mouse,114.49,Yes
T0516,Need a refund urgently,Gaming Mouse,254.28,Yes
T0517,Package lost in transit,Noise Cancelling Headphones,169.79,No
T0518,Never got tracking update,Gaming Mouse,75.05,No
T0519,Item is damaged,Smartwatch Strap,147.63,Yes
T0520,Wrong product received,Webcam,220.55,No
T0521,Item is damaged,USB-C Charger,167.24,Yes
T0522,Never got tracking update,Smartphone Cover,32.34,No
T0523,Order was missing,Wireless Earbuds,71.66,No
T0524,Delivered but empty box,Bluetooth Speaker,258.96,Yes
T0525,Item is damaged,Noise Cancelling Headphones,203.68,Yes
T0526,Delivered but empty box,Bluetooth Speaker,253.71,No
T0527,Need a refund urgently,Noise Cancelling Headphones,199.31,No
T0528,I want a refund for last week’s order,Webcam,246.14,Yes
T0529,Item is damaged,USB-C Charger,184.1,No
T0530,Delivered but empty box,Gaming Mouse,227.07,Yes
T0531,Delivered but empty box,Noise Cancelling Headphones,140.96,No
T0532,I want a refund for last week’s order,USB-C Charger,128.57,Yes
T0533,Never got tracking update,Noise Cancelling Headphones,92.78,No
T0534,Order was missing,Smartphone Cover,250.8,Yes
T0535,Need a refund urgently,Wireless Earbuds,203.68,Yes
T0536,Order was missing,Smartwatch Strap,81.7,Yes
T0537,"No delivery, please refund",Laptop Stand,56.04,No
T0538,Item is damaged,Smartwatch Strap,273.76,No
T0539,Wrong product received,Bluetooth Speaker,125.32,No
T0540,Never got tracking update,Noise Cancelling Headphones,210.84,No
T0541,Wrong product received,Laptop Stand,135.1,Yes
T0542,I want a refund for last week’s order,Smartwatch Strap,30.86,No
T0543,Item is damaged,Laptop Stand,254.25,No
T0544,Wrong product received,Portable SSD,96.28,No
T0545,"No delivery, please refund",Laptop Stand,284.27,No
T0546,Need a refund urgently,USB-C Charger,88.16,No
T0547,Never got tracking update,Smartwatch Strap,215.15,Yes
T0548,Wrong product received,Smartwatch Strap,252.69,Yes
T0549,Wrong product received,Gaming Mouse,105.07,No
T0550,Need a refund urgently,Wireless Earbuds,67.08,Yes
T0551,Wrong product received,Laptop Stand,58.97,No
T0552,Package lost in transit,Laptop Stand,101.73,No
T0553,Need a refund urgently,Smartwatch Strap,95.62,No
T0554,"No delivery, please refund",Smartphone Cover,117.08,Yes
T0555,I didn’t receive my order,Gaming Mouse,187.85,Yes
T0556,Delivered but empty box,Portable SSD,209.42,Yes
T0557,Item is damaged,Smartphone Cover,42.09,No
T0558,Package lost in transit,USB-C Charger,69.22,No
T0559,Wrong product received,Wireless Earbuds,78.45,No
T0560,Package lost in transit,Smartphone Cover,211.82,No
T0561,I want a refund for last week’s order,Laptop Stand,193.43,Yes
T0562,I want a refund for last week’s order,Bluetooth Speaker,239.72,No
T0563,Wrong product received,Smartphone Cover,22.28,Yes
T0564,Wrong product received,Portable SSD,221.31,No
T0565,Package lost in transit,Webcam,87.09,Yes
T0566,Need a refund urgently,Noise Cancelling Headphones,162.3,Yes
T0567,Never got tracking update,USB-C Charger,25.76,No
T0568,I didn’t receive my order,Smartphone Cover,296.33,Yes
T0569,Order was missing,Bluetooth Speaker,144.58,No
T0570,Wrong product received,Gaming Mouse,27.41,No
T0571,I want a refund for last week’s order,Webcam,183.43,No
T0572,Never got tracking update,Bluetooth Speaker,40.24,Yes
T0573,I want a refund for last week’s order,Portable SSD,72.09,Yes
T0574,Need a refund urgently,Smartwatch Strap,217.08,No
T0575,Never got tracking update,Wireless Earbuds,254.74,Yes
T0576,Delivered but empty box,Laptop Stand,192.34,Yes
T0577,Order was missing,Gaming Mouse,230.79,Yes
T0578,Package lost in transit,Webcam,125.03,Yes
T0579,I didn’t receive my order,Smartphone Cover,178.34,No
T0580,Never got tracking update,Bluetooth Speaker,133.0,No
T0581,Wrong product received,Portable SSD,223.81,Yes
T0582,Need a refund urgently,Wireless Earbuds,143.58,Yes
T0583,Never got tracking update,Bluetooth Speaker,177.06,Yes
T0584,"No delivery, please refund",Gaming Mouse,170.1,Yes
T0585,Delivered but empty box,USB-C Charger,55.3,No
T0586,Order was missing,Noise Cancelling Headphones,262.15,Yes
T0587,I want a refund for last week’s order,Noise Cancelling Headphones,33.61,No
T0588,Wrong product received,USB-C Charger,214.56,No
T0589,I want a refund for last week’s order,Gaming Mouse,120.9,No
T0590,Order was missing,USB-C Charger,120.68,Yes
T0591,I want a refund for last week’s order,Wireless Earbuds,255.84,Yes
T0592,I didn’t receive my order,Smartphone Cover,73.44,Yes
T0593,Need a refund urgently,Noise Cancelling Headphones,139.99,No
T0594,Never got tracking update,Laptop Stand,258.9,Yes
T0595,Package lost in transit,Gaming Mouse,186.06,No
T0596,Wrong product received,Smartwatch Strap,257.73,No
T0597,Delivered but empty box,USB-C Charger,216.2,Yes
T0598,I didn’t receive my order,Webcam,146.5,No
T0599,Never got tracking update,Laptop Stand,139.08,Yes
T0600,Wrong product received,USB-C Charger,260.92,No
T0601,Broken Smartwatch Strap,Smartwatch Strap,45.00,No
